total_pop,median_rent,median_income,median_age,boardings,alightings,pct_college_degree,pct_racial_minorities,pct_property_owner,pct_commuter_PuT,DistRes,DistOffice,dist_to_cbd
1560.0,800.0,36250.0,28.7,165.0,54.0,0.1093210586881473,0.4551282051282052,0.3720316622691293,0.21661237785016288,4920.242485543158,4925.627688981213,4254.880809108998
1178.0,796.0,29643.0,25.4,10.0,71.0,0.04340567612687813,0.4252971137521222,0.22377622377622378,0.1164021164021164,5032.392356539865,4704.293452503028,4386.418475186927
2018.0,1628.0,159205.0,38.8,160.0,169.0,0.6307007786429366,0.17443012884043607,0.5107913669064749,0.4570093457943925,1447.692166589275,3316.5070702848693,13219.823862369576
739.0,1695.0,238421.0,35.1,255.0,153.0,0.6901172529313233,0.23951285520974286,0.6941176470588235,0.5380116959064327,933.0861905830425,3034.5667606888715,13636.888713461416
1187.0,1431.0,181736.0,30.8,92.0,137.0,0.5506715506715507,0.059814658803706844,0.55,0.4678111587982833,649.5186233982326,3038.4047301553537,13744.742055400255
1998.0,1522.0,183875.0,34.9,34.0,52.0,0.644633972992182,0.2992992992992993,0.6316455696202532,0.3120260021668472,785.5407897516955,2558.7268731915215,11766.445892846363
1628.0,1739.0,250001.0,41.4,14.0,90.0,0.726144297905353,0.23832923832923836,0.555421686746988,0.37235228539576365,1160.5847858322181,1822.174163300478,12026.241089740424
582.0,1925.0,233462.0,40.3,255.0,117.0,0.895117540687161,0.12886597938144329,0.6140724946695096,0.3961352657004831,204.464855698839,2267.4230000876028,12378.540918854236
931.0,1944.0,219571.0,33.4,122.0,115.0,0.6459694989106753,0.03222341568206233,0.6677115987460815,0.5174418604651163,429.08905534708754,2040.9464273867627,11869.567447544954
1194.0,931.0,91914.0,54.4,4.0,6.0,0.4568880079286422,0.09296482412060303,0.5968468468468469,0.19381443298969073,9348.295175870444,2486.4774730524127,25457.987854724324
1186.0,1097.0,80481.0,48.9,12.0,12.0,0.25378450578806766,0.2099494097807757,0.43017456359102246,0.12871287128712872,11637.226622608772,588.7362531041763,26403.23124257144
439.0,1159.0,89875.0,50.6,70.0,22.0,0.42475728155339804,0.1389521640091116,0.3836477987421384,0.2168284789644013,6481.053109241171,2929.2547016167223,21991.608715028695
1029.0,1268.0,60069.0,38.3,76.0,173.0,0.2085889570552147,0.4402332361516035,0.5340136054421769,0.34679334916864607,3269.3122199356885,3527.6593587257994,19811.347861260838
2763.0,984.0,41641.0,38.7,166.0,37.0,0.16207379729098553,0.5009048136083967,0.5676567656765676,0.27299128751210067,1086.8130807087261,2678.4319401512867,22863.735811948984
981.0,296.0,16114.0,26.9,85.0,100.0,0.061507936507936505,0.9898063200815495,0.0,0.3768844221105528,1549.89935752871,4705.828688679702,5719.861796378829
1841.0,532.0,16622.0,28.1,52.0,54.0,0.2547076313181368,0.9625203693644758,0.12198221092757307,0.4675324675324675,1287.0889312385946,4621.257726017121,6770.562621243942
1209.0,1145.3387096774193,73092.0,38.0,9.0,244.0,0.19201995012468828,0.2034739454094293,0.9310344827586207,0.06851851851851852,9388.035325047353,7711.965078855746,16587.704537819794
973.0,1145.3387096774193,81250.0,42.9,12.0,2.0,0.3818770226537217,0.07399794450154162,0.9224806201550387,0.2278177458033573,6241.0459455778455,6570.78227784053,18612.677093571758
521.0,1145.3387096774193,144922.0,34.8,61.0,38.0,0.3747072599531616,0.7869481765834933,0.4639175257731959,0.134375,894.0654507768379,2097.553587192898,3958.7259225830894
1566.0,1056.0,43594.0,29.7,66.0,66.0,0.35815991237677985,0.5197956577266922,0.16317991631799164,0.27926657263751764,1372.4432601372841,1769.4816319640663,2097.5225604844
1393.0,995.0,77273.0,47.0,0.0,0.0,0.13005780346820808,0.9949748743718593,0.6426116838487973,0.14420062695924765,2235.988762352172,10165.14811824689,26344.268663182782
798.0,1120.0,85208.08522167488,26.4,59.0,16.0,0.33705357142857145,0.4398496240601504,0.43853820598006643,0.14052287581699346,8613.850222867884,7173.797110388887,17546.811922898774
1169.0,987.0,44464.0,38.7,0.0,0.0,0.26756756756756755,0.9195893926432849,0.5130784708249497,0.1087962962962963,6093.439070668852,11304.948291364159,29873.3389705091
921.0,1145.3387096774193,95893.0,39.2,15.0,25.0,0.19830508474576272,0.057546145494028256,0.9746031746031746,0.2085201793721973,6184.653764125691,7323.666512064988,13137.408994199595
1766.0,1360.0,91087.0,31.2,0.0,0.0,0.22731614135625597,0.3165345413363534,0.7742616033755274,0.13557358053302435,6819.60305262054,7136.942678607702,14116.46099867391
1155.0,1601.0,81042.0,33.8,87.0,96.0,0.17804551539491298,0.4103896103896104,0.7710144927536232,0.11302681992337164,6055.793771099367,5979.67664922591,17477.29483610975
1056.0,2066.0,102130.0,50.1,0.0,0.0,0.28028503562945367,0.4602272727272727,0.782016348773842,0.026246719160104987,6362.92444018639,6290.476101745167,18036.590152564062
1435.0,1343.0,85208.08522167488,31.7,96.0,94.0,0.6007936507936508,0.05644599303135889,0.19978969505783387,0.5860323886639676,1407.92461683805,3574.043713317712,15472.811670798854
1359.0,1177.0,65526.0,35.8,36.0,66.0,0.28656361474435194,0.9852832965415746,0.6885245901639344,0.10261569416498995,6268.163519827131,5336.767398765671,16200.077954996344
1041.0,939.0,43992.0,51.4,27.0,57.0,0.4656398104265403,1.0,0.7210743801652892,0.12894736842105264,4502.228283189735,5649.375479338199,18984.931764777913
1037.0,1016.0,59643.0,35.5,38.0,42.0,0.23884892086330936,0.43876567020250723,0.43952802359882004,0.3171247357293869,2678.8899653751114,4002.7922834361584,17843.537672900915
