GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170310715006,800.0,1977.0,121976.0,30.7,715.0,414.0,231.0,27.0,29.0,786.0,0.0,160.0,85.0,45.0,54.0
170312819003,2143.0,1785.0,129844.0,30.5,1665.0,775.0,491.0,115.0,128.0,985.0,124.0,312.0,192.0,492.0,786.0
170310812024,850.0,1145.3387096774193,85208.08522167488,54.7,689.0,241.0,98.0,136.0,75.0,687.0,35.0,377.0,122.0,64.0,68.0
170310718002,615.0,2087.0,85208.08522167488,31.9,468.0,303.0,52.0,84.0,29.0,549.0,0.0,166.0,127.0,58.0,77.0
170312519003,1024.0,915.0,17596.0,27.8,649.0,17.0,25.0,0.0,0.0,8.0,1004.0,57.0,209.0,418.0,233.0
170312519001,477.0,906.0,17986.0,46.2,365.0,27.0,30.0,0.0,0.0,7.0,470.0,100.0,112.0,26.0,148.0
170318056002,1078.0,1145.3387096774193,137679.0,43.2,692.0,220.0,188.0,88.0,25.0,1078.0,0.0,386.0,283.0,0.0,0.0
170318056003,1127.0,1145.3387096774193,189444.0,41.2,688.0,299.0,144.0,72.0,19.0,1038.0,0.0,340.0,348.0,0.0,0.0
170313018031,1227.0,806.0,50893.0,29.1,729.0,86.0,40.0,0.0,0.0,836.0,0.0,194.0,313.0,0.0,0.0
170317005016,1499.0,1145.3387096774193,65903.0,51.9,1154.0,130.0,118.0,0.0,52.0,110.0,1375.0,520.0,102.0,8.0,6.0
170310307033,1504.0,1193.0,94375.0,35.8,1151.0,452.0,166.0,49.0,46.0,885.0,390.0,302.0,56.0,221.0,113.0
170310505002,1585.0,1677.0,210809.0,30.3,996.0,518.0,304.0,23.0,0.0,1524.0,3.0,218.0,485.0,70.0,67.0
170316009002,1003.0,1068.0,85208.08522167488,37.9,822.0,157.0,55.0,11.0,12.0,692.0,65.0,82.0,92.0,0.0,0.0
170313807001,1330.0,1034.0,45495.0,47.1,1056.0,42.0,117.0,0.0,22.0,81.0,1224.0,46.0,134.0,20.0,31.0
170314205001,940.0,786.0,40962.0,41.9,685.0,165.0,24.0,0.0,18.0,7.0,907.0,42.0,77.0,72.0,64.0
170316915002,750.0,881.0,27500.0,23.7,372.0,43.0,10.0,0.0,0.0,35.0,715.0,79.0,313.0,76.0,53.0
170314402021,1033.0,892.0,36583.0,38.1,697.0,166.0,71.0,0.0,11.0,0.0,1033.0,210.0,116.0,76.0,39.0
