GEOID,total_pop,median_rent,median_income,median_age,pct_college_degree,pct_racial_minorities,pct_property_owner,pct_commuter_PuT,DistRes,DistOffice,dist_to_cbd
421010308001,670.0,1117.0,52708.0,48.4,0.13157894736842105,0.32388059701492533,0.7366071428571429,0.11912225705329153,4886.309195341246,11422.412995245042,17481.33261268841
421010309003,1481.0,833.0,47500.0,41.5,0.10758776896942242,0.5800135043889264,0.2613390928725702,0.11267605633802817,5281.496077605936,11048.588774161759,14810.206439884989
421010310005,1388.0,1341.0,69671.5965583174,33.1,0.20909090909090908,0.3832853025936599,0.7387640449438202,0.034108527131782945,5087.810737545079,11233.220998218372,16553.82421290062
421010326005,336.0,1070.2311111111112,81444.0,45.3,0.2788104089219331,0.6101190476190477,1.0,0.2851063829787234,6227.113745634998,12554.738698601013,17885.7797262945
421010247005,464.0,1070.2311111111112,69671.5965583174,48.6,0.31671554252199413,0.8491379310344828,0.7368421052631579,0.7368421052631579,4179.743764165186,11010.769746582255,12336.382731911566
421010249001,1081.0,951.0,38092.0,34.3,0.09049773755656108,1.0,0.7743467933491687,0.444141689373297,5054.763409099644,12133.296203311582,14426.594228480804
421010249002,178.0,1070.2311111111112,60313.0,58.9,0.0,1.0,1.0,0.2823529411764706,4835.258538711407,11815.514455826455,13898.617678786299
421010249003,559.0,845.0,21627.0,44.0,0.10268948655256724,0.9803220035778175,0.40716612377850164,0.4748201438848921,4683.081018139237,11561.80709135121,13649.914927470541
421010325001,835.0,1610.0,93424.0,44.5,0.20173913043478262,0.555688622754491,0.5508196721311476,0.2111801242236025,6014.621650539557,11902.310173343241,17039.94965184825
421010389003,1276.0,1005.0,35000.0,35.2,0.21666666666666667,0.9647335423197492,0.5864811133200796,0.26063829787234044,5289.109619894216,12399.853734533903,14287.769260860467
421010252002,695.0,941.0,49479.0,31.4,0.22167487684729065,0.9007194244604316,0.34554973821989526,0.64,3786.396974436687,11357.932827280709,12704.284114796594
421010326004,1263.0,1258.0,52526.0,32.0,0.15789473684210525,0.3317498020585906,0.777511961722488,0.11764705882352941,6086.144971486496,12358.68859654738,17477.24865731294
421010134022,648.0,1536.0,190208.0,28.8,0.7951127819548872,0.30092592592592593,0.34593023255813954,0.18689320388349515,305.8564727305626,2091.1198909365667,1821.8298298914171
421010144001,801.0,1070.2311111111112,69671.5965583174,28.5,0.34942528735632183,0.3882646691635455,0.36065573770491804,0.06761565836298933,1052.3084932261877,3904.237887889107,3324.3796446781244
421010317003,720.0,1070.0,60123.0,22.3,0.11384615384615385,0.5972222222222222,0.44660194174757284,0.10743801652892562,6546.465090759741,11219.170583201596,15446.07743030442
421010317001,1012.0,1070.2311111111112,59453.0,39.4,0.13225806451612904,0.5247035573122529,0.7431192660550459,0.2225,6474.446608787069,11143.224421610272,15353.742742583014
421010317005,1124.0,1141.0,49934.0,40.4,0.2,0.550711743772242,0.5557491289198606,0.2397003745318352,6490.2056158857895,11000.925357380544,14624.16962888783
421010317002,943.0,1070.2311111111112,87963.0,44.8,0.19924337957124844,0.5291622481442206,0.9170616113744076,0.1759656652360515,6095.626859916218,11062.587419347601,15366.588533651302
421010318002,898.0,1221.0,49154.0,31.3,0.08843537414965986,0.5456570155902005,0.5598591549295775,0.0,6346.892368553437,10868.460680083062,14540.051380669953
421010315021,1860.0,1353.0,48162.0,33.3,0.12177121771217712,0.5973118279569892,0.656832298136646,0.21199442119944212,5221.11400232373,11498.332610463132,16896.99764060888
421010315022,939.0,952.0,38547.0,31.8,0.30289855072463767,0.42598509052183176,0.36187845303867405,0.36813186813186816,4768.249461482911,11676.818723952638,17599.500481721498
421010316004,683.0,1070.2311111111112,66458.0,39.2,0.13,0.2796486090775988,0.6169154228855721,0.3018867924528302,6407.917622680176,11302.91514437975,15700.407641171283
421010313005,918.0,1446.0,59500.0,35.6,0.019230769230769232,0.30718954248366015,0.3974358974358974,0.08484848484848485,5337.168119954362,11199.602297032363,16345.695433494295
421010313006,929.0,1164.0,26400.0,35.2,0.025134649910233394,0.7427341227125942,0.34615384615384615,0.18834080717488788,5444.0689653000145,11194.54263345563,16350.554146074592
421010314022,1685.0,1161.0,31250.0,30.8,0.12786885245901639,0.6913946587537092,0.6923076923076923,0.25609756097560976,5346.517571660597,11344.493973467246,16830.6059349754
421010314013,1450.0,1083.0,32257.0,25.4,0.09305373525557012,0.5731034482758621,0.6024096385542169,0.2865731462925852,5318.560802510614,11306.744020236456,16807.79069206045
421010314014,880.0,699.0,70703.0,43.6,0.14576271186440679,0.6511363636363636,0.551948051948052,0.3215130023640662,5248.146911341959,11296.204993126743,16790.391248583397
421010314015,821.0,1071.0,111979.0,31.6,0.0,0.8879415347137637,0.522633744855967,0.15315315315315314,5134.400034750108,11325.84574864394,16781.950449555214
421010314011,2284.0,1322.0,45901.0,30.4,0.12056262558606833,0.6786339754816112,0.3287904599659284,0.1778697001034126,4623.549584276259,11473.329465599505,17452.634495458387
421010314012,1626.0,1393.0,48864.0,31.4,0.14329580348004095,0.7004920049200491,0.39579349904397704,0.43211334120425027,4794.737455058837,11439.85993979952,17229.080530003375
421010314023,2904.0,1323.0,45682.0,30.8,0.1405176967776017,0.6570247933884297,0.6188340807174888,0.17568517217146873,4664.643678271866,11491.846807652153,17278.617939876804
421010315012,2192.0,874.0,43984.0,33.6,0.10077519379844961,0.5004562043795621,0.6725543478260869,0.0,5446.903600906253,11933.338843909638,17405.89091291851
421010146002,886.0,990.0,71429.0,41.9,0.20352564102564102,0.871331828442438,0.7272727272727273,0.1836734693877551,877.9390721220028,3660.0070083173896,3267.459007715222
421010149001,1028.0,766.0,69671.5965583174,25.8,0.037366548042704624,0.9717898832684825,0.1263537906137184,0.5260115606936416,1607.9436155916178,3990.391835189929,3977.116652090185
421010149002,307.0,1096.0,47866.0,55.5,0.0,1.0,0.5083333333333333,0.0,1876.0371662226858,4061.501269750891,4134.608286787491
421010149003,734.0,756.0,69671.5965583174,24.0,0.03287671232876712,1.0,0.5239852398523985,0.7129629629629629,2134.6959198013838,4145.5151680743675,4222.174927334879
421010151021,1647.0,293.0,69671.5965583174,33.1,0.0,1.0,0.1303724928366762,0.5176211453744494,2195.188140039675,4718.783890115694,4521.719775100689
421010151022,1801.0,948.0,23333.0,38.5,0.11622641509433962,1.0,0.4772117962466488,0.36236391912908245,2580.5625490537186,4660.4341181445325,4687.286357394741
